name,description,item_type,category,manufacturer,catalog_number,model_number,serial_number,ahri_tag,project_name,storage_requirements,units,calibration_required,compatible_analyzers,equipment_condition,installation_date,last_service_date,last_maintenance_date,current_location,active
Automatic Urinalysis System,Automated urine chemistry analyzer with data output,CARTRIDGE,Clinical Chemistry - Urinalysis,,,EU-5300Pro,,URO-001,Medical Laboratory,Room Temperature,units,Y,Both manual and LIS integration,Active,2020-01-01,2024-11-01,2024-12-01,CTD-BE - Chemistry Station,Y
Blood Coagulation Analyzer BK-CA04,Coagulation testing analyzer with data integration,CARTRIDGE,Clinical Chemistry - Coagulation,,,BK-CA04,,COAG-004,Medical Laboratory,Room Temperature,units,Y,Both manual and LIS integration,Active,2020-01-01,2024-11-01,2024-12-01,CTD-BE - Coagulation Station,Y
Blood Coagulation Analyzer BK-CA02,Coagulation testing analyzer with data integration,CARTRIDGE,Clinical Chemistry - Coagulation,,,BK-CA02,,COAG-002,Medical Laboratory,Room Temperature,units,Y,Both manual and LIS integration,Active,2020-01-01,2024-11-01,2024-12-01,CTD-BE - Coagulation Station,Y
Clinical Chemistry & Blood Gas Analyzer,Combined chemistry and blood gas analyzer,CARTRIDGE,Clinical Chemistry - Blood Gas,,,i15,,BGC-001,Medical Laboratory,Room Temperature,units,Y,Both manual and LIS integration,Active,2020-01-01,2024-11-01,2024-12-01,CTD-BE - Blood Gas Station,Y
Chemistry Analyzer EXC 200,Automated clinical chemistry analyzer,CARTRIDGE,Clinical Chemistry - General,,,EXC 200,,CHEM-200,Medical Laboratory,Room Temperature,units,Y,Both manual and LIS integration,Active,2020-01-01,2024-11-01,2024-12-01,CTD-BE - Chemistry Bench,Y
Hematology Analyzer XS-500i,Automated hematology analyzer,CARTRIDGE,Hematology,,,XS-500i,,HEM-500,Medical Laboratory,Room Temperature,units,Y,Both manual and LIS integration,Active,2020-01-01,2024-11-01,2024-12-01,CTD-BE - Hematology Station,Y
Chemistry Analyzer BS-120,Clinical chemistry analyzer - under maintenance,CARTRIDGE,Clinical Chemistry - General,,,BS-120,,CHEM-120,Medical Laboratory,Room Temperature,units,Y,Both manual and LIS integration,Under Maintenance,2020-01-01,2024-09-01,2024-10-01,CTD-BE - Maintenance Area,Y
ISE Electrolyte Analyzer,Ion-selective electrode analyzer for electrolytes,CARTRIDGE,Clinical Chemistry - Electrolytes,,,Humalyte Plus5,,ISE-001,Medical Laboratory,Room Temperature,units,Y,Manual only,Under Maintenance,2020-01-01,2024-09-01,2024-10-01,CTD-BE - Maintenance Area,Y
Hematology Analyzer BC-5300,Automated hematology analyzer - under maintenance,CARTRIDGE,Hematology,,,BC-5300,,HEM-5300,Medical Laboratory,Room Temperature,units,Y,Both manual and LIS integration,Under Maintenance,2020-01-01,2024-09-01,2024-10-01,CTD-BE - Maintenance Area,Y
Chemistry Analyzer ECHO XPC,Clinical chemistry analyzer - under maintenance,CARTRIDGE,Clinical Chemistry - General,,,ECHO XPC,,CHEM-ECHO,Medical Laboratory,Room Temperature,units,Y,Both manual and LIS integration,Under Maintenance,2020-01-01,2024-09-01,2024-10-01,CTD-BE - Maintenance Area,Y
Fully Automated Hematology Analyzer,Advanced hematology analyzer - not yet received,CARTRIDGE,Hematology,,,TBD,,HEM-TBD1,Medical Laboratory,Room Temperature,units,Y,Both manual and LIS integration,Not Received,2024-01-01,,,CTD-BE - Pending Receipt,N
Integrated Clinical Chemistry Analyzer,Combined chemistry analyzer - not yet received,CARTRIDGE,Clinical Chemistry - General,,,TBD,,CHEM-TBD,Medical Laboratory,Room Temperature,units,Y,Both manual and LIS integration,Not Received,2024-01-01,,,CTD-BE - Pending Receipt,N
