name,description,item_type,category,manufacturer,catalog_number,model_number,serial_number,ahri_tag,project_name,storage_requirements,units,calibration_required,compatible_analyzers,equipment_condition,installation_date,last_service_date,last_maintenance_date,current_location,active
HPLC (TMMRD Shared),High Performance Liquid Chromatography - shared with Bioanalytical Lab,CARTRIDGE,TMMRD - Shared Chromatography,,,,,TMMRD-HPLC-S,Traditional & Modern Medicine Research Lab,Room Temperature; Power Supply 220V,units,Y,Both manual and automatic,Active,2020-01-01,2024-11-01,2024-12-01,Shared Equipment - HPLC Bay,Y
LC-MS (TMMRD Shared),Liquid Chromatography-Mass Spectrometry - shared with Bioanalytical Lab,CARTRIDGE,TMMRD - Shared Mass Spec,,,,,TMMRD-LCMS-S,Traditional & Modern Medicine Research Lab,Room Temperature; Power Supply 220V,units,Y,Automatic only,Active,2020-01-01,2024-11-01,2024-12-01,Shared Equipment - LC-MS Bay,Y
GC-MS,Gas Chromatography-Mass Spectrometry for volatile compound analysis,CARTRIDGE,TMMRD - GC-MS,,,,,TMMRD-GCMS,Traditional & Modern Medicine Research Lab,Room Temperature; Power Supply 220V,units,Y,Automatic only,Active,2020-01-01,2024-11-01,2024-12-01,TMMRD Lab - GC-MS Station,Y
FTIR (TMMRD Shared),Fourier Transform Infrared Spectroscopy - shared with Pharma Lab,CARTRIDGE,TMMRD - Shared Spectroscopy,,,,,TMMRD-FTIR-S,Traditional & Modern Medicine Research Lab,Room Temperature; Power Supply 220V,units,Y,Both manual and automatic,Active,2020-01-01,2024-11-01,2024-12-01,Shared Equipment - FTIR Bay,Y
UV-Vis Spectrophotometer (TMMRD Shared),UV-Visible Spectrophotometer - shared with Pharma Lab,CARTRIDGE,TMMRD - Shared Spectroscopy,,,,,TMMRD-UVVIS-S,Traditional & Modern Medicine Research Lab,Room Temperature; Power Supply 220V,units,Y,Both manual and automatic,Active,2020-01-01,2024-11-01,2024-12-01,Shared Equipment - UV-Vis Station,Y
TLC Equipment,Thin Layer Chromatography equipment for compound separation,CARTRIDGE,TMMRD - TLC,,,,,TMMRD-TLC,Traditional & Modern Medicine Research Lab,Room Temperature,units,N,Manual only,Active,2020-01-01,2024-11-01,2024-12-01,TMMRD Lab - TLC Station,Y
Rotary Evaporator,Rotary evaporator for solvent removal and concentration,CARTRIDGE,TMMRD - Sample Prep,,,,,TMMRD-ROTOVAP,Traditional & Modern Medicine Research Lab,Room Temperature,units,N,Manual only,Active,2020-01-01,2024-11-01,2024-12-01,TMMRD Lab - Preparation Bay,Y
Freeze Dryer,Freeze dryer (lyophilizer) for sample preservation,CARTRIDGE,TMMRD - Sample Prep,,,,,TMMRD-LYOPH,Traditional & Modern Medicine Research Lab,Room Temperature,units,Y,Automatic only,Active,2020-01-01,2024-11-01,2024-12-01,TMMRD Lab - Freeze Drying Bay,Y
Optical Microscope,Optical microscope for botanical and tissue analysis,CARTRIDGE,TMMRD - Microscopy,,,,,TMMRD-OPTMIC,Traditional & Modern Medicine Research Lab,Room Temperature,units,Y,Manual only,Active,2020-01-01,2024-11-01,2024-12-01,TMMRD Lab - Microscopy Station,Y
Fluorescence Microscope,Fluorescence microscope for advanced imaging,CARTRIDGE,TMMRD - Microscopy,,,,,TMMRD-FLUMIC,Traditional & Modern Medicine Research Lab,Room Temperature,units,Y,Manual only,Active,2020-01-01,2024-11-01,2024-12-01,TMMRD Lab - Microscopy Station,Y
