name,description,item_type,category,manufacturer,catalog_number,model_number,serial_number,ahri_tag,project_name,storage_requirements,units,calibration_required,compatible_analyzers,equipment_condition,installation_date,last_service_date,last_maintenance_date,current_location,active
Nanodrop,Microvolume UV-Vis spectrophotometer for nucleic acid quantification,CARTRIDGE,Genomics - Quantification,,,,,GEN-NANODROP,Genomics & Bioinformatics Laboratory,Room Temperature,units,Y,Manual only,Active,2020-01-01,2024-11-01,2024-12-01,Genomics Lab - QC Station,Y
Qubit,Fluorometer for precise DNA/RNA quantification,CARTRIDGE,Genomics - Quantification,,,,,GEN-QUBIT,Genomics & Bioinformatics Laboratory,Room Temperature,units,Y,Manual only,Active,2020-01-01,2024-11-01,2024-12-01,Genomics Lab - QC Station,Y
qPCR,Quantitative Real-Time PCR system for gene expression analysis,CARTRIDGE,Genomics - PCR,,,,,GEN-QPCR,Genomics & Bioinformatics Laboratory,Room Temperature,units,Y,Automatic only,Active,2020-01-01,2024-11-01,2024-12-01,Genomics Lab - PCR Bay,Y
Illumina NextSeq 500,Next-generation sequencing system for genomic analysis,CARTRIDGE,Genomics - NGS,Illumina,,NextSeq 500,,GEN-NSQ500,Genomics & Bioinformatics Laboratory,Room Temperature; Climate Controlled,units,Y,Automatic only,Active,2020-01-01,2024-11-01,2024-12-01,Genomics Lab - Sequencing Bay,Y
Illumina NextSeq 2000,Advanced next-generation sequencing system,CARTRIDGE,Genomics - NGS,Illumina,,NextSeq 2000,,GEN-NSQ2000,Genomics & Bioinformatics Laboratory,Room Temperature; Climate Controlled,units,Y,Automatic only,Active,2021-01-01,2024-11-01,2024-12-01,Genomics Lab - Sequencing Bay,Y
DNBSEQ G400,DNA nanoball sequencing platform for high-throughput genomics,CARTRIDGE,Genomics - NGS,MGI Tech,,DNBSEQ G400,,GEN-G400,Genomics & Bioinformatics Laboratory,Room Temperature; Climate Controlled,units,Y,Automatic only,Active,2021-01-01,2024-11-01,2024-12-01,Genomics Lab - Sequencing Bay,Y
Bioanalyzer-2100,Automated electrophoresis system for nucleic acid quality control,CARTRIDGE,Genomics - QC,Agilent,,Bioanalyzer 2100,,GEN-BA2100,Genomics & Bioinformatics Laboratory,Room Temperature,units,Y,Automatic only,Active,2020-01-01,2024-11-01,2024-12-01,Genomics Lab - QC Station,Y
C-PCR (Conventional PCR),Conventional PCR thermal cycler for DNA amplification,CARTRIDGE,Genomics - PCR,,,,,GEN-CPCR,Genomics & Bioinformatics Laboratory,Room Temperature,units,Y,Automatic only,Active,2020-01-01,2024-11-01,2024-12-01,Genomics Lab - PCR Bay,Y
Gel Electrophoresis System,Agarose gel electrophoresis for DNA/RNA visualization,CARTRIDGE,Genomics - Gel Analysis,,,,,GEN-GEL,Genomics & Bioinformatics Laboratory,Room Temperature,units,Y,Manual only,Active,2020-01-01,2024-11-01,2024-12-01,Genomics Lab - Gel Bay,Y
SDS-PAGE System,Protein gel electrophoresis system,CARTRIDGE,Genomics - Protein Analysis,,,,,GEN-SDSPAGE,Genomics & Bioinformatics Laboratory,Room Temperature,units,Y,Manual only,Active,2020-01-01,2024-11-01,2024-12-01,Genomics Lab - Protein Bay,Y
