name,description,item_type,category,manufacturer,catalog_number,model_number,serial_number,ahri_tag,project_name,storage_requirements,units,calibration_required,compatible_analyzers,equipment_condition,installation_date,last_service_date,last_maintenance_date,current_location,active
LC-MS/MS,Triple Quadrupole LC-MS/MS for bioanalytical testing and pharmacokinetic analysis,CARTRIDGE,Bioanalytical - LC-MS/MS,,,,,BIO-LCMS,Bioanalytical Laboratory,Room Temperature; Power Supply 220V,units,Y,Automatic only,Active,2020-01-01,2024-11-01,2024-12-01,Bioanalytical Lab - Instrument Bay 1,Y
HPLC,High Performance Liquid Chromatography for assay and purity testing,CARTRIDGE,Bioanalytical - HPLC,,,,,BIO-HPLC,Bioanalytical Laboratory,Room Temperature; Power Supply 220V,units,Y,Automatic only,Active,2020-01-01,2024-11-01,2024-12-01,Bioanalytical Lab - Instrument Bay 2,Y
Dissolution Apparatus,Dissolution testing apparatus for pharmaceutical dosage forms per USP <711>,CARTRIDGE,Bioanalytical - Dissolution,,,,,BIO-DISS,Bioanalytical Laboratory,Room Temperature; Temperature Control 37°C,units,Y,Both manual and automatic,Active,2020-01-01,2024-11-01,2024-12-01,Bioanalytical Lab - Dissolution Bay,Y
Disintegration Tester,Automated disintegration testing for tablets and capsules per USP <701>,CARTRIDGE,Bioanalytical - Disintegration,,,,,BIO-DISINT,Bioanalytical Laboratory,Room Temperature; Temperature Control 37°C,units,Y,Manual only,Active,2020-01-01,2024-11-01,2024-12-01,Bioanalytical Lab - Physical Testing,Y
Hardness Tester,Digital hardness tester for tablets measurement in Kiloponds,CARTRIDGE,Bioanalytical - Hardness,,,,,BIO-HARD,Bioanalytical Laboratory,Room Temperature,units,Y,Manual only,Active,2020-01-01,2024-11-01,2024-12-01,Bioanalytical Lab - Physical Testing,Y
Friability Tester,Automated friability tester for tablet abrasion resistance per USP <1216>,CARTRIDGE,Bioanalytical - Friability,,,,,BIO-FRIA,Bioanalytical Laboratory,Room Temperature,units,Y,Manual only,Active,2020-01-01,2024-11-01,2024-12-01,Bioanalytical Lab - Physical Testing,Y
Stability Chamber,Environmental chamber for stability studies per ICH and USP guidelines,CARTRIDGE,Bioanalytical - Environmental,,,,,BIO-STAB,Bioanalytical Laboratory,Controlled Temperature 25°C; Humidity 60%,units,Y,Automatic only,Active,2020-01-01,2024-11-01,2024-12-01,Bioanalytical Lab - Stability Room,Y
UV-Vis Spectrophotometer,Double-beam UV-Vis spectrophotometer for pharmaceutical assays,CARTRIDGE,Bioanalytical - UV-Vis,,,,,BIO-UVVIS,Bioanalytical Laboratory,Room Temperature; Power Supply 220V,units,Y,Both manual and automatic,Active,2020-01-01,2024-11-01,2024-12-01,Bioanalytical Lab - Spectroscopy Station,Y
FTIR,Fourier Transform Infrared spectroscopy for identity testing,CARTRIDGE,Bioanalytical - FTIR,,,,,BIO-FTIR,Bioanalytical Laboratory,Room Temperature; Power Supply 220V,units,Y,Both manual and automatic,Active,2020-01-01,2024-11-01,2024-12-01,Bioanalytical Lab - Spectroscopy Station,Y
Freezers (-20°C; -80°C),Ultra-low temperature freezers for bioanalytical sample storage,CARTRIDGE,Bioanalytical - Storage,,,,,BIO-FREEZ,Bioanalytical Laboratory,Ultra-Low Temperature -80°C; Power Supply 220V,units,Y,Manual only,Active,2020-01-01,2024-11-01,2024-12-01,Bioanalytical Lab - Sample Storage,Y
Millipore Water Purification,Laboratory water purification system for HPLC and reagent preparation,CARTRIDGE,Bioanalytical - Utilities,Millipore Sigma,,,,BIO-WATER,Bioanalytical Laboratory,Room Temperature; Ambient Pressure,units,Y,Automatic only,Active,2020-01-01,2024-11-01,2024-12-01,Bioanalytical Lab - Utilities Room,Y
